127.0.0.1, 2024-12-05 13:31:17, POST, /welcome/default/contact, HTTP/1.1, 200, 0.112000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/default/contact, HTTP/1.1, 200, 0.432000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000

127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2024-12-05 13:31:32, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2024-12-05 13:33:22, GET, /admin/default/index, HTTP/1.1, 303, 0.007000
127.0.0.1, 2024-12-05 13:33:22, GET, /admin/default/site, HTTP/1.1, 200, 0.082000
127.0.0.1, 2024-12-05 13:33:24, GET, /admin/default/index, HTTP/1.1, 303, 0.005000
127.0.0.1, 2024-12-05 13:33:24, GET, /admin/default/site, HTTP/1.1, 200, 0.028000
127.0.0.1, 2024-12-05 13:33:26, GET, /admin/default/index, HTTP/1.1, 303, 0.004000
127.0.0.1, 2024-12-05 13:33:26, GET, /admin/default/site, HTTP/1.1, 200, 0.029000
127.0.0.1, 2024-12-05 13:33:30, GET, /admin/default/logout, HTTP/1.1, 303, 0.011000
127.0.0.1, 2024-12-05 13:33:30, GET, /admin/default/index, HTTP/1.1, 200, 0.033000
127.0.0.1, 2024-12-05 13:33:33, GET, /admin/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:33:33, GET, /admin/default/index, HTTP/1.1, 200, 0.011000
127.0.0.1, 2024-12-05 13:33:34, GET, /admin/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:33:34, GET, /admin/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:33:35, GET, /admin/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:33:35, GET, /admin/default/index, HTTP/1.1, 200, 0.013000
127.0.0.1, 2024-12-05 13:33:37, GET, /admin/default/site, HTTP/1.1, 303, 0.006000
127.0.0.1, 2024-12-05 13:33:37, GET, /admin/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.006000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/edit/welcome/views/contact.html, HTTP/1.1, 303, 0.006000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2024-12-05 13:33:38, GET, /admin/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2024-12-05 13:33:39, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.005000
127.0.0.1, 2024-12-05 13:33:39, GET, /admin/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2024-12-05 13:33:39, GET, /admin/default/index, HTTP/1.1, 200, 0.027000
127.0.0.1, 2024-12-05 13:33:39, GET, /admin/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2024-12-05 13:33:40, GET, /admin/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2024-12-05 13:33:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.084000
127.0.0.1, 2024-12-05 13:33:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2024-12-05 13:33:40, GET, /admin/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2024-12-05 13:33:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.079000
127.0.0.1, 2024-12-05 13:33:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.089000
